Datum,Text,Ort,Lat,Lon,Jahr,Arrondissement,Quartier,PLZ,geometry,Lat_jitter,Lon_jitter
2023-04-02,"Le 2 avril 2023, vers 22 h 30, une fusillade éclate cité du Castellas, dans le 15e arrondissement de Marseille, 3 hommes sont visés par balles, deux d'entre eux âgés de 21 et 23 ans sont abattus. Une seconde fusillade éclate peu après dans le quartier des Aygalades, blessant 5 hommes par balles[68].",cité du castellas,43.351982,5.373687,2023,Marseille 15e Arrondissemen,LES AYGALADES,13015,POINT (5.373687 43.351982),43.351982,5.373687
2023-04-03,"Le 3 avril 2023, vers 1 h, une fusillade éclate rue VincentLeblanc, dans le quartier de la Joliette, dans le 2e arrondissement de Marseille. Un adolescent de 16 ans est abattu tandis que 2 autres âgés de 14 à 16 ans sont grièvement blessés. Le deuxième jeune âgé de 16 ans, grièvement blessé, succombera à ses blessures un mois plus tard[68].",la joliette,43.308419,5.369542,2023,Marseille 2e Arrondissemen,LA JOLIETTE,13002,POINT (5.369542 43.308419),43.308419,5.369542
2023-04-13,"Le 13 avril 2023, vers 1 h, une fusillade éclate rue Caussemille, dans le quartier de la Belle de Mai, dans le 3e arrondissement de Marseille. Trois hommes âgés de 21 à 27 ans sont visés par des tirs de kalachnikov. Grièvement blessé, le plus âgé d’entre eux succombe à ses blessures[67].",belle de mai,43.312173,5.385983,2023,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.386137719516911 43.312260016899714),43.312260016899714,5.386137719516911
2023-04-23,"Le 23 avril 2023, vers 22 h, un homme âgé de 19 ans est tué par balles, cité du Mail, dans le 14e arrondissement de Marseille[66].",cité du mail,43.334759,5.397713,2023,Marseille 14e Arrondissemen,SAINT BARTHELEMY,13014,POINT (5.397713 43.334759),43.334759,5.397713
2023-04-24,"Le 24 avril 2023, vers 22 h 30, une fusillade éclate dans un snack à proximité de la cité de la Busserine, dans le 14e arrondissement de Marseille. Un homme âgé de 63 ans est abattu tandis qu’un autre est blessé[65].",busserine,43.334669,5.395367,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.395294916542034 43.33454825273739),43.33454825273739,5.395294916542034
2023-05-03,"Le 3 mai 2023, vers 19 h 15, un homme âgé de 32 ans est tué par balles au volant de sa voiture, quartier de Saint-Mitre dans le 13e arrondissement de Marseille[64].",saint mitre 13e,43.343976,5.422666,2023,Marseille 13e Arrondissemen,SAINT MITRE,13013,POINT (5.422666 43.343976),43.343976,5.422666
2023-05-10,"Le 10 mai 2023, vers 23 h, une fusillade éclate traverse du Vieux-Moulin, dans le quartier de Saint-Joseph, dans le 14e arrondissement de Marseille. Une femme âgée de 43 ans est abattue tandis que deux autres personnes sont blessées[63].",saint joseph 14e,43.344212,5.382578,2023,Marseille 14e Arrondissemen,SAINT JOSEPH,13014,POINT (5.382578 43.344212),43.344212,5.382578
2023-05-21,"Le 21 mai 2023, vers 5 h 30, une fusillade éclate dans le quartier de la Pomme, dans le 11e arrondissement de Marseille. Trois hommes âgés d'une vingtaine d'années sont abattus à la kalachnikov[61]. Ils sont originaires de Felix Pyat, quartier fortement impliqué dans la guerre des réseaux de 2023[62].",la pomme,43.291385,5.440169,2023,Marseille 11e Arrondissemen,LA POMME,13011,POINT (5.440267265832772 43.291425086872785),43.291425086872785,5.440267265832772
2023-05-31,"Le 31 mai 2023, vers 1 h 30, un homme âgé de 34 ans est abattu, cité de la Paternelle, dans le 14e arrondissement de Marseille[60].",cité de la paternelle,43.338926,5.393644,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.393735683831233 43.33897714275402),43.33897714275402,5.393735683831233
2023-06-05,"Le 5 juin 2023, vers 21 h 30, un homme de 18 ans qui s'est réfugié dans une mosquée, cité du Castellas dans le 15e arrondissement de Marseille, en est extirpé de force par deux hommes et abattu par arme à feu[59].",cité du castellas,43.352271,5.373762,2023,Marseille 15e Arrondissemen,LES AYGALADES,13015,POINT (5.373762 43.352271),43.352271,5.373762
